epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,1412.36,1.73057,1.61219,1.61677,0.65226,0.54593,0.59129,0.28561,1.86795,1.51711,1.71763,0.00135344,0.00135344,0.00135344
21,1481.84,1.72708,1.56474,1.61165,0.63743,0.55019,0.58314,0.28114,1.86434,1.52605,1.71328,0.00133693,0.00133693,0.00133693
22,1551.22,1.71273,1.55673,1.60458,0.64428,0.53906,0.57565,0.27813,1.86741,1.5394,1.72969,0.00132043,0.00132043,0.00132043
23,1620.85,1.72055,1.55457,1.61262,0.65459,0.55699,0.59837,0.29076,1.86002,1.45552,1.71285,0.00130393,0.00130393,0.00130393
24,1690.34,1.7126,1.51444,1.59142,0.69027,0.55262,0.61035,0.29367,1.8396,1.42749,1.68701,0.00128742,0.00128742,0.00128742
25,1760.77,1.71277,1.52983,1.59442,0.67447,0.57125,0.62387,0.30251,1.84061,1.42976,1.70095,0.00127092,0.00127092,0.00127092
26,1830.24,1.70901,1.54713,1.59716,0.66389,0.57232,0.61642,0.29859,1.85101,1.45271,1.68719,0.00125442,0.00125442,0.00125442
27,1899.72,1.70321,1.51994,1.58498,0.67301,0.58375,0.6289,0.30823,1.81761,1.41993,1.6651,0.00123791,0.00123791,0.00123791
28,1969.05,1.69139,1.4924,1.58068,0.69049,0.57173,0.63245,0.30852,1.82457,1.41376,1.67717,0.00122141,0.00122141,0.00122141
29,2038.56,1.67534,1.46898,1.57,0.68482,0.57779,0.62783,0.30615,1.84763,1.39412,1.6769,0.00120491,0.00120491,0.00120491
30,2107.92,1.67556,1.47317,1.57306,0.7353,0.58649,0.65109,0.31966,1.81774,1.37074,1.66113,0.0011884,0.0011884,0.0011884
31,2177.26,1.68462,1.46171,1.56949,0.71764,0.5774,0.64364,0.31959,1.8076,1.38236,1.66375,0.0011719,0.0011719,0.0011719
32,2246.7,1.66678,1.46475,1.56557,0.7044,0.59248,0.6493,0.32227,1.80872,1.35105,1.66528,0.0011554,0.0011554,0.0011554
33,2316.13,1.67707,1.46433,1.55758,0.71397,0.59887,0.65557,0.32862,1.80276,1.35181,1.65214,0.00113889,0.00113889,0.00113889
34,2385.83,1.64823,1.42009,1.53909,0.68599,0.58574,0.62872,0.31443,1.82572,1.38784,1.67192,0.00112239,0.00112239,0.00112239
35,2455.61,1.65228,1.4212,1.54249,0.71391,0.59591,0.6499,0.32504,1.79063,1.35317,1.64048,0.00110589,0.00110589,0.00110589
36,2525.48,1.6478,1.40686,1.54149,0.72366,0.59812,0.65742,0.32584,1.80357,1.33865,1.66531,0.00108938,0.00108938,0.00108938
37,2595.42,1.65779,1.40854,1.54436,0.69882,0.61368,0.66086,0.33257,1.79862,1.34189,1.63949,0.00107288,0.00107288,0.00107288
38,2664.96,1.64404,1.40271,1.54005,0.71012,0.61621,0.66146,0.33212,1.81779,1.31235,1.64943,0.00105638,0.00105638,0.00105638
39,2734.42,1.63454,1.3968,1.53087,0.72212,0.60914,0.66502,0.33415,1.79672,1.31113,1.63911,0.00103987,0.00103987,0.00103987
40,2803.75,1.62549,1.37474,1.52706,0.72241,0.61146,0.65775,0.33027,1.80801,1.30583,1.64638,0.00102337,0.00102337,0.00102337
41,2873.4,1.63875,1.3908,1.53191,0.74123,0.60086,0.67117,0.33724,1.78764,1.29895,1.63744,0.00100687,0.00100687,0.00100687
42,2943.15,1.62123,1.38499,1.52844,0.7331,0.62736,0.6732,0.33471,1.77884,1.3005,1.6323,0.000990365,0.000990365,0.000990365
43,3012.64,1.61489,1.36358,1.51817,0.72549,0.62647,0.67819,0.34128,1.7968,1.2846,1.63379,0.000973861,0.000973861,0.000973861
44,3082.53,1.63074,1.3514,1.52192,0.74333,0.61753,0.67784,0.33725,1.79434,1.28065,1.63851,0.000957358,0.000957358,0.000957358
45,3152.28,1.61971,1.33791,1.51448,0.73472,0.61579,0.67381,0.33515,1.80106,1.28226,1.63935,0.000940855,0.000940855,0.000940855
46,3221.88,1.61058,1.33009,1.50445,0.72519,0.63926,0.68087,0.34278,1.79296,1.26891,1.62852,0.000924352,0.000924352,0.000924352
47,3291.45,1.60105,1.32628,1.50228,0.71691,0.63834,0.67992,0.34017,1.80326,1.26457,1.6299,0.000907848,0.000907848,0.000907848
48,3361.09,1.60437,1.32975,1.51385,0.73426,0.61913,0.6829,0.34419,1.79777,1.26501,1.63928,0.000891345,0.000891345,0.000891345
49,3430.55,1.58496,1.31897,1.49884,0.75314,0.63644,0.68826,0.34365,1.78978,1.24731,1.61705,0.000874842,0.000874842,0.000874842
50,3500.46,1.59175,1.29082,1.4918,0.75651,0.62105,0.68546,0.34564,1.78811,1.25759,1.6192,0.000858338,0.000858338,0.000858338
51,3570.1,1.60085,1.30698,1.49335,0.72613,0.64079,0.68025,0.34384,1.78921,1.24349,1.62106,0.000841835,0.000841835,0.000841835
52,3639.43,1.58089,1.28377,1.48828,0.76204,0.62622,0.69593,0.34984,1.77054,1.23869,1.61831,0.000825332,0.000825332,0.000825332
53,3708.74,1.58284,1.29566,1.48665,0.72336,0.64146,0.6864,0.3483,1.77232,1.23932,1.60398,0.000808828,0.000808828,0.000808828
54,3778.14,1.5849,1.27443,1.4843,0.75121,0.63062,0.69482,0.35391,1.77262,1.21669,1.60791,0.000792325,0.000792325,0.000792325
55,3847.55,1.5845,1.28191,1.48435,0.73626,0.6322,0.68984,0.35171,1.77237,1.2196,1.61715,0.000775822,0.000775822,0.000775822
56,3916.73,1.585,1.26234,1.48346,0.76794,0.6418,0.70454,0.35598,1.77751,1.21563,1.61541,0.000759318,0.000759318,0.000759318
57,3986,1.55887,1.25549,1.4687,0.74429,0.64105,0.69863,0.35129,1.77943,1.20475,1.61291,0.000742815,0.000742815,0.000742815
58,4055.36,1.57921,1.26764,1.4802,0.7401,0.63874,0.69651,0.35442,1.77105,1.21532,1.60974,0.000726312,0.000726312,0.000726312
59,4124.76,1.56731,1.25276,1.47012,0.76317,0.62763,0.69402,0.3512,1.78215,1.20308,1.61426,0.000709809,0.000709809,0.000709809
60,4194.07,1.55879,1.24148,1.47122,0.73851,0.65615,0.69273,0.35163,1.77419,1.20599,1.61095,0.000693305,0.000693305,0.000693305
61,4263.5,1.54967,1.24909,1.47044,0.73283,0.63567,0.68753,0.34846,1.77423,1.21638,1.61157,0.000676802,0.000676802,0.000676802
62,4333.43,1.55769,1.2391,1.46486,0.74767,0.63327,0.68985,0.35191,1.7691,1.21779,1.61535,0.000660299,0.000660299,0.000660299
63,4402.81,1.54835,1.23042,1.4599,0.75305,0.63596,0.69957,0.35485,1.77319,1.201,1.6087,0.000643795,0.000643795,0.000643795
64,4472.2,1.54147,1.21741,1.454,0.73142,0.64357,0.69807,0.35266,1.76957,1.19925,1.60329,0.000627292,0.000627292,0.000627292
65,4542.8,1.53704,1.20804,1.45166,0.7556,0.63093,0.69738,0.35626,1.77264,1.19657,1.60702,0.000610789,0.000610789,0.000610789
66,4613.21,1.53741,1.20637,1.45373,0.75929,0.64826,0.70119,0.3585,1.7685,1.19629,1.60838,0.000594286,0.000594286,0.000594286
67,4682.57,1.53127,1.20815,1.44892,0.75118,0.64275,0.69924,0.3595,1.77578,1.19253,1.60558,0.000577782,0.000577782,0.000577782
68,4751.77,1.53767,1.20765,1.45182,0.77145,0.63302,0.69521,0.35442,1.77417,1.1852,1.60815,0.000561279,0.000561279,0.000561279
69,4821.14,1.53483,1.19413,1.44923,0.74419,0.64476,0.69763,0.35639,1.77615,1.1911,1.60704,0.000544776,0.000544776,0.000544776
70,4890.48,1.5202,1.18916,1.44096,0.75271,0.64282,0.69837,0.35676,1.76978,1.18121,1.60856,0.000528272,0.000528272,0.000528272
71,4959.7,1.51085,1.18139,1.42922,0.75691,0.64256,0.69974,0.35859,1.76679,1.17924,1.60321,0.000511769,0.000511769,0.000511769
72,5029.08,1.51637,1.17697,1.43909,0.74635,0.64544,0.70338,0.35876,1.76767,1.17911,1.60643,0.000495266,0.000495266,0.000495266
73,5098.92,1.51508,1.17332,1.43213,0.74145,0.65583,0.70461,0.3611,1.77204,1.17292,1.60673,0.000478762,0.000478762,0.000478762
74,5168.62,1.51805,1.17375,1.44029,0.74422,0.65172,0.70441,0.36283,1.76786,1.17804,1.60708,0.000462259,0.000462259,0.000462259
75,5237.8,1.52454,1.17853,1.44314,0.75823,0.64596,0.70375,0.36213,1.76751,1.17224,1.60398,0.000445756,0.000445756,0.000445756
76,5307.06,1.515,1.17126,1.43425,0.76683,0.64941,0.70762,0.36449,1.77258,1.17295,1.60646,0.000429253,0.000429253,0.000429253
77,5376.47,1.49538,1.15068,1.41454,0.75903,0.65669,0.7046,0.36206,1.77042,1.17244,1.60546,0.000412749,0.000412749,0.000412749
78,5445.74,1.51283,1.16177,1.43293,0.74789,0.64664,0.7028,0.36068,1.77291,1.16125,1.60693,0.000396246,0.000396246,0.000396246
79,5515.25,1.49394,1.13915,1.42289,0.74724,0.64911,0.70407,0.36101,1.77609,1.1682,1.61002,0.000379743,0.000379743,0.000379743
80,5584.84,1.49351,1.13981,1.41729,0.73286,0.65994,0.70149,0.36107,1.77788,1.16236,1.60827,0.000363239,0.000363239,0.000363239
81,5654.1,1.50109,1.13387,1.42428,0.7384,0.66124,0.70332,0.36016,1.78152,1.16361,1.61532,0.000346736,0.000346736,0.000346736
82,5723.4,1.49529,1.1383,1.41892,0.73445,0.66963,0.70849,0.36338,1.77929,1.15811,1.61099,0.000330233,0.000330233,0.000330233
83,5792.71,1.48649,1.13345,1.41453,0.73582,0.67405,0.70805,0.36255,1.78255,1.16372,1.61455,0.000313729,0.000313729,0.000313729
84,5861.93,1.48181,1.13273,1.40912,0.73454,0.66938,0.70807,0.36365,1.78027,1.15849,1.61528,0.000297226,0.000297226,0.000297226
85,5931.11,1.46655,1.107,1.39859,0.74506,0.65635,0.70724,0.36206,1.78198,1.15676,1.61562,0.000280723,0.000280723,0.000280723
86,6000.8,1.48638,1.12646,1.40893,0.75797,0.6529,0.7071,0.36022,1.77857,1.15691,1.61604,0.00026422,0.00026422,0.00026422
87,6070.44,1.46875,1.10699,1.40008,0.7482,0.65816,0.70369,0.35878,1.7834,1.15422,1.61881,0.000247716,0.000247716,0.000247716
88,6140.06,1.46918,1.10315,1.40599,0.75652,0.64991,0.7041,0.36062,1.78529,1.15923,1.61944,0.000231213,0.000231213,0.000231213
89,6209.3,1.46642,1.10322,1.39517,0.75249,0.65649,0.70435,0.36241,1.78719,1.15935,1.61794,0.00021471,0.00021471,0.00021471
90,6278.67,1.45422,1.08863,1.39577,0.75572,0.65826,0.70573,0.36192,1.78918,1.15678,1.62028,0.000198206,0.000198206,0.000198206
91,6371.7,1.4959,1.01382,1.42977,0.74862,0.65228,0.70469,0.35865,1.79807,1.15105,1.62591,0.000181703,0.000181703,0.000181703
92,6440.95,1.48633,0.99706,1.42458,0.74042,0.66001,0.70304,0.35782,1.7977,1.15208,1.62575,0.0001652,0.0001652,0.0001652
93,6510.45,1.48199,0.9918,1.42164,0.74479,0.65698,0.70426,0.35932,1.79762,1.15226,1.62486,0.000148696,0.000148696,0.000148696
94,6579.08,1.46721,0.9915,1.41677,0.73967,0.66136,0.70488,0.36016,1.79393,1.15332,1.62475,0.000132193,0.000132193,0.000132193
95,6647.8,1.46711,0.98315,1.41635,0.73979,0.6619,0.70261,0.35908,1.7945,1.1535,1.62639,0.00011569,0.00011569,0.00011569
96,6716.72,1.46293,0.96415,1.40849,0.73722,0.66079,0.70254,0.35887,1.79655,1.14842,1.62867,9.91865e-05,9.91865e-05,9.91865e-05
97,6785.4,1.46523,0.97058,1.41351,0.73917,0.65674,0.70015,0.35783,1.79817,1.14936,1.63042,8.26832e-05,8.26832e-05,8.26832e-05
98,6854.72,1.46003,0.96703,1.40593,0.73375,0.66448,0.69999,0.35654,1.80109,1.14939,1.63273,6.61799e-05,6.61799e-05,6.61799e-05
99,6923.56,1.45537,0.96267,1.4072,0.73863,0.65685,0.69955,0.35579,1.80101,1.15111,1.63266,4.96766e-05,4.96766e-05,4.96766e-05
100,6992.27,1.4523,0.96211,1.40609,0.73636,0.65963,0.69944,0.35546,1.80091,1.15317,1.63328,3.31733e-05,3.31733e-05,3.31733e-05
