epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.3219,1.93613,2.71776,1.79023,0.35412,0.3499,0.29601,0.10662,2.22665,2.59789,2.10958,0.000554274,0.000554274,0.000554274
2,149.803,1.99321,2.24986,1.83772,0.34195,0.34429,0.25,0.08928,2.24933,2.52794,2.11042,0.00109895,0.00109895,0.00109895
3,220.163,1.98936,2.15208,1.83612,0.35741,0.34634,0.28297,0.11304,2.14419,2.86329,2.0354,0.00163263,0.00163263,0.00163263
4,289.813,1.96369,2.07689,1.81672,0.39716,0.36036,0.33795,0.12883,2.07239,2.06619,1.93634,0.00161749,0.00161749,0.00161749
5,359.677,1.91462,1.98264,1.78049,0.53483,0.42204,0.43249,0.18003,2.05698,2.0174,1.87856,0.00160099,0.00160099,0.00160099
6,430.005,1.89726,1.92948,1.76698,0.49728,0.39153,0.40056,0.17523,2.06086,2.044,1.92625,0.00158448,0.00158448,0.00158448
7,500.304,1.87576,1.89044,1.74325,0.4817,0.42911,0.42013,0.19311,2.01039,1.9461,1.87555,0.00156798,0.00156798,0.00156798
8,572.025,1.85017,1.82107,1.71902,0.52858,0.46622,0.46263,0.19958,2.03251,1.87848,1.89555,0.00155148,0.00155148,0.00155148
9,642.013,1.83426,1.79005,1.71247,0.55279,0.45905,0.47761,0.20973,1.96467,1.76745,1.81573,0.00153497,0.00153497,0.00153497
10,712.473,1.82922,1.7619,1.68598,0.52811,0.48869,0.47447,0.21582,1.95037,1.76792,1.79307,0.00151847,0.00151847,0.00151847
11,783.083,1.82627,1.7452,1.69558,0.56236,0.50481,0.49793,0.22645,1.95166,1.75373,1.8181,0.00150197,0.00150197,0.00150197
12,853.499,1.80602,1.71811,1.68214,0.60666,0.5059,0.54056,0.24817,1.92464,1.60304,1.76797,0.00148546,0.00148546,0.00148546
13,923.319,1.7909,1.71664,1.66512,0.5821,0.51044,0.51312,0.24336,1.89623,1.73919,1.75732,0.00146896,0.00146896,0.00146896
14,993.271,1.78099,1.68531,1.6554,0.6184,0.53591,0.55821,0.25822,1.89818,1.612,1.7342,0.00145246,0.00145246,0.00145246
15,1062.83,1.77573,1.66459,1.65476,0.64915,0.51598,0.55512,0.2615,1.88838,1.57685,1.73075,0.00143595,0.00143595,0.00143595
16,1132.4,1.77143,1.64912,1.64991,0.60238,0.55507,0.56699,0.26347,1.87009,1.64545,1.75417,0.00141945,0.00141945,0.00141945
17,1201.98,1.77139,1.64917,1.64604,0.60989,0.53221,0.55841,0.26303,1.91583,1.5724,1.76277,0.00140295,0.00140295,0.00140295
18,1271.78,1.75936,1.60224,1.62165,0.6376,0.55487,0.58694,0.27923,1.86398,1.51567,1.70613,0.00138644,0.00138644,0.00138644
19,1341.98,1.74058,1.58001,1.61715,0.66914,0.56212,0.60564,0.28648,1.87979,1.46124,1.70137,0.00136994,0.00136994,0.00136994
